source,target,dilation,method
3866935503,4064823316,1.0,Matched-Density Betweenness
3866935503,5058207728,1.0,Matched-Density Betweenness
3866935503,5971822160,1.0,Matched-Density Betweenness
3866935503,5057936188,1.0,Matched-Density Betweenness
3866935503,3700753737,1.0,Matched-Density Betweenness
3866935503,5057936789,1.0,Matched-Density Betweenness
3691467294,5057935925,1.0,Matched-Density Betweenness
3691467294,3859766054,1.0,Matched-Density Betweenness
3691467294,6787262365,1.0,Matched-Density Betweenness
3691467294,4043078151,1.0063885604631253,Matched-Density Betweenness
3691467294,729757927,1.0062984277774891,Matched-Density Betweenness
3691467294,6853090144,1.0,Matched-Density Betweenness
3691467294,5981175002,1.0,Matched-Density Betweenness
3691467294,2171888966,1.0,Matched-Density Betweenness
3691467294,5968464428,1.0,Matched-Density Betweenness
3691467294,5971822157,1.0,Matched-Density Betweenness
7456853153,3734102723,1.0,Matched-Density Betweenness
7456853153,5684854574,1.0,Matched-Density Betweenness
7456853153,7451841777,1.0,Matched-Density Betweenness
7456853153,3888464941,1.0,Matched-Density Betweenness
7456853153,3700753742,1.0,Matched-Density Betweenness
7456853153,5058207805,1.0,Matched-Density Betweenness
7456853153,5057936851,1.0,Matched-Density Betweenness
7456853153,4064823205,1.0,Matched-Density Betweenness
7456853153,5971869789,1.0,Matched-Density Betweenness
7456853153,6853119084,1.0,Matched-Density Betweenness
3686504889,5965956570,1.0,Matched-Density Betweenness
3686504889,3866933743,1.0,Matched-Density Betweenness
3686504889,6853092596,1.0,Matched-Density Betweenness
3686504889,5057793310,1.0,Matched-Density Betweenness
3686504889,2171637131,1.0,Matched-Density Betweenness
3686504889,3866935632,1.0,Matched-Density Betweenness
3686504889,1319139935,1.0,Matched-Density Betweenness
3686504889,5057793258,1.0,Matched-Density Betweenness
3686504889,5057937046,1.0,Matched-Density Betweenness
3686504889,4043078154,1.0,Matched-Density Betweenness
6853043266,2171888872,1.0,Matched-Density Betweenness
6853043266,3859766065,1.0,Matched-Density Betweenness
6853043266,5966260784,1.0,Matched-Density Betweenness
6853043266,7451212153,1.0,Matched-Density Betweenness
6853043266,5057053291,1.0,Matched-Density Betweenness
6853043266,3859766073,1.0,Matched-Density Betweenness
6853043266,5982522013,1.0,Matched-Density Betweenness
6853043266,5167747875,1.0238495450400935,Matched-Density Betweenness
6853043266,5057936965,1.0,Matched-Density Betweenness
6853043266,5971893129,1.0,Matched-Density Betweenness
7456872000,5058207759,1.0,Matched-Density Betweenness
7456872000,3700603647,1.0,Matched-Density Betweenness
7456872000,4043078130,1.0,Matched-Density Betweenness
7456872000,3691467294,1.0,Matched-Density Betweenness
7456872000,3888465124,1.0,Matched-Density Betweenness
7456872000,7456983071,1.0,Matched-Density Betweenness
7456872000,5966003308,1.0,Matched-Density Betweenness
7456872000,5839464300,1.0,Matched-Density Betweenness
7456872000,4043078109,1.0308815690009623,Matched-Density Betweenness
7456872000,7457140728,1.0,Matched-Density Betweenness
5971869785,5964136944,1.2470849422602932,Hierarchical Road Classifier
5971869785,2997342470,1.0,Hierarchical Road Classifier
5971869785,5968212764,1.0176376877317186,Hierarchical Road Classifier
5971869785,5058043923,1.0,Hierarchical Road Classifier
5971869785,1319139934,1.0,Hierarchical Road Classifier
5971869785,13181157932,1.0,Hierarchical Road Classifier
5971869785,3275071580,1.0219273721461495,Hierarchical Road Classifier
5971869785,3866933699,1.0045313037501151,Hierarchical Road Classifier
5971869785,3866935982,1.0181340035289754,Hierarchical Road Classifier
5971869785,5167747909,1.1872356035152634,Hierarchical Road Classifier
3686514157,5968379566,1.0150213112683026,Hierarchical Road Classifier
3686514157,12050489668,1.5117134711184448,Hierarchical Road Classifier
3686514157,5966003308,1.1728073117749476,Hierarchical Road Classifier
3686514157,3842949368,1.0092974030580226,Hierarchical Road Classifier
3686514157,7451193131,1.0178420737151832,Hierarchical Road Classifier
3686514157,5982460282,1.6490240966902192,Hierarchical Road Classifier
3686514157,729757918,1.007803354951769,Hierarchical Road Classifier
3686514157,5964136944,1.2351686416801322,Hierarchical Road Classifier
3686514157,5058043908,1.0998547029320245,Hierarchical Road Classifier
3686514157,3866935274,1.0102386615426069,Hierarchical Road Classifier
11649780056,5058207605,1.0,Hierarchical Road Classifier
11649780056,5968184371,1.0872905004439555,Hierarchical Road Classifier
11649780056,4064823317,1.0,Hierarchical Road Classifier
11649780056,11228720453,1.690169080478798,Hierarchical Road Classifier
11649780056,3700753721,1.0,Hierarchical Road Classifier
11649780056,7106087708,1.1976280841833649,Hierarchical Road Classifier
11649780056,5058043930,1.0,Hierarchical Road Classifier
11649780056,5057793417,1.0,Hierarchical Road Classifier
11649780056,4064823316,1.0,Hierarchical Road Classifier
11649780056,3700753698,1.0,Hierarchical Road Classifier
7456876622,3859766094,8.479808340274563,Hierarchical Road Classifier
7456876622,5057793379,1.3194682089086793,Hierarchical Road Classifier
7456876622,3686504887,1.9386590714145389,Hierarchical Road Classifier
7456876622,3275071574,1.5035834211213517,Hierarchical Road Classifier
7456876622,5057936854,1.0883847853396316,Hierarchical Road Classifier
7456876622,3296662733,3.947898605045945,Hierarchical Road Classifier
7456876622,5057935947,1.047107672141105,Hierarchical Road Classifier
7456876622,5057793579,1.022336896750911,Hierarchical Road Classifier
7456876622,5968379572,1.4091263557755889,Hierarchical Road Classifier
7456876622,4043078129,1.0504941096265734,Hierarchical Road Classifier
4064823279,1319148779,1.0,Hierarchical Road Classifier
4064823279,7451854698,1.0525397112279917,Hierarchical Road Classifier
4064823279,5058207769,2.1165581246787992,Hierarchical Road Classifier
4064823279,5747062218,1.0,Hierarchical Road Classifier
4064823279,3688721250,1.0,Hierarchical Road Classifier
4064823279,5057936848,1.271904707481327,Hierarchical Road Classifier
4064823279,2472417891,1.0,Hierarchical Road Classifier
4064823279,5965868887,1.0142646091810166,Hierarchical Road Classifier
4064823279,4080896069,1.0,Hierarchical Road Classifier
4064823279,5971712871,1.0,Hierarchical Road Classifier
3888464942,5968568131,1.0375156971491817,Hierarchical Road Classifier
3888464942,5057935995,1.377933353285443,Hierarchical Road Classifier
3888464942,5966393701,1.0,Hierarchical Road Classifier
3888464942,3840730919,1.1592466330613296,Hierarchical Road Classifier
3888464942,7447864318,1.0,Hierarchical Road Classifier
3888464942,2171888933,2.2690007404758603,Hierarchical Road Classifier
3888464942,1319460609,2.5641540152338242,Hierarchical Road Classifier
3888464942,6050457306,1.0,Hierarchical Road Classifier
3888464942,3866935600,1.3437136067667563,Hierarchical Road Classifier
3888464942,4076359212,1.4077467244007662,Hierarchical Road Classifier
3866935503,2472417902,1.4280005180405613,Hierarchical Road Classifier
3866935503,3879369957,1.2939038415760242,Hierarchical Road Classifier
3866935503,3686504879,1.0,Hierarchical Road Classifier
3866935503,5057936856,1.3515582968590447,Hierarchical Road Classifier
3866935503,4064823316,1.0,Hierarchical Road Classifier
3866935503,5058207728,1.0,Hierarchical Road Classifier
3866935503,5971822160,1.2890602022252828,Hierarchical Road Classifier
3866935503,5057936188,1.3514105974183848,Hierarchical Road Classifier
3866935503,3700753737,1.0459454311552183,Hierarchical Road Classifier
3866935503,5057936789,1.1232899838893915,Hierarchical Road Classifier
3691467294,5057935925,1.0,Hierarchical Road Classifier
3691467294,3859766054,1.1618438804029587,Hierarchical Road Classifier
3691467294,6787262365,1.022005202646937,Hierarchical Road Classifier
3691467294,4043078151,1.0520354298874652,Hierarchical Road Classifier
3691467294,729757927,1.05130129062854,Hierarchical Road Classifier
3691467294,6853090144,1.097625910284151,Hierarchical Road Classifier
3691467294,5981175002,1.0563769226919117,Hierarchical Road Classifier
3691467294,2171888966,1.1291586311713362,Hierarchical Road Classifier
3691467294,5968464428,1.110065124538822,Hierarchical Road Classifier
3691467294,5971822157,1.0,Hierarchical Road Classifier
7456853153,3734102723,1.0,Hierarchical Road Classifier
7456853153,5684854574,1.5784305166328274,Hierarchical Road Classifier
7456853153,7451841777,1.0,Hierarchical Road Classifier
7456853153,3888464941,1.0,Hierarchical Road Classifier
7456853153,3700753742,1.0,Hierarchical Road Classifier
7456853153,5058207805,1.0,Hierarchical Road Classifier
7456853153,5057936851,1.26730579842497,Hierarchical Road Classifier
7456853153,4064823205,1.542412589382936,Hierarchical Road Classifier
7456853153,5971869789,1.0532223261110008,Hierarchical Road Classifier
7456853153,6853119084,1.0,Hierarchical Road Classifier
3686504889,5965956570,1.130228634631941,Hierarchical Road Classifier
3686504889,3866933743,1.0,Hierarchical Road Classifier
3686504889,6853092596,3.494248743736152,Hierarchical Road Classifier
3686504889,5057793310,1.0254287477289974,Hierarchical Road Classifier
3686504889,2171637131,1.0695851951219442,Hierarchical Road Classifier
3686504889,3866935632,1.0,Hierarchical Road Classifier
3686504889,1319139935,1.0,Hierarchical Road Classifier
3686504889,5057793258,1.0,Hierarchical Road Classifier
3686504889,5057937046,1.0,Hierarchical Road Classifier
3686504889,4043078154,1.0166435200637935,Hierarchical Road Classifier
6853043266,2171888872,1.0,Hierarchical Road Classifier
6853043266,3859766065,1.0,Hierarchical Road Classifier
6853043266,5966260784,1.315568486094387,Hierarchical Road Classifier
